protocol,table,attribute,definition,variable_type,field_type,format_text,unit,version
seagrass shoots,sample metadata,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,sample_processing_year,The year the sample was processed in the lab,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,sample_processing_month,The month the sample was processed in the lab,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,sample_processing_day,The day the sample was processed in the lab,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,data_collector,Name(s) of data collector(s),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,data_entry_person,Full name of data entry person,pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sample metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),id,numeric,NA,meters,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,blade_rank,"Rank of the blade from youngest or innermost, to oldest. Use a integer scale starting at 1 for the youngest blade.",measurement,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,blade_length_mm,Blade length in millimeters,measurement,integer,XX,millimeters,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,blade_width_mm,Blade width in millimeters,measurement,integer,XX,millimeters,10.25573/serc.14925114.v1
seagrass shoots,blade measurement data,blade_measurement_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),id,numeric,NA,meters,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,sheath_length_mm,Sheath length in millimeters,measurement,integer,XX,millimeters,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,number_grazing_scars,Number of grazing scars on seagrass blades,measurement,integer,XX,NA,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,tin_mass_epibiont_g,"Mass of the empty tin to hold the epibionts, in grams",measurement,integer,XX.XX,grams,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,tin_and_epibiont_dry_mass_g,"Mass of the empty tin and epibionts that have been dried to a constant weight, in grams",measurement,integer,XX.XX,grams,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,tin_mass_blades_g,"Mass of the empty tin to hold the blades, in grams",measurement,integer,XX.XX,grams,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,tin_and_blades_dry_mass_g,"Mass of the empty tin and blades that have been dried to a constant weight, in grams",measurement,integer,XX.XX,grams,10.25573/serc.14925114.v1
seagrass shoots,sheath and epibiont data,sheath_and_epibiont_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,sample_processing_year,The year the sample was processed in the lab,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,sample_processing_month,The month the sample was processed in the lab,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,sample_processing_day,The day the sample was processed in the lab,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,data_collector,Name(s) of data collector(s),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,data_entry_person,Full name of data entry person,pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),id,numeric,NA,meters,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,macroalgae_id,"Provide the most accurate and feasible level of identification for this sample. Options include full scientific name (genus and species), a coarser taxonomic classification, or functional group.",NA,text,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,tin_mass_macroalgae_g,"Mass of the empty tin to hold the macroalgae, in grams",measurement,integer,XX.XX,grams,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,tin_and_macroalgae_dry_mass_g,"Mass of the empty tin and macroalgae that have been dried to a constant weight, in grams",measurement,integer,XX.XX,grams,10.25573/serc.14925114.v1
seagrass macroalgae,sample data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
