protocol_name,sheet_name,field_name,definition,field_type,format_text,unit,field_sheet_notes,version
Diver Visual Survey,sample metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,transect,The transect at the location the sample came from: 1 or 2,numeric,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,sample_collection_year,The year the sample was collected in the field,numeric,YYYY,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,sample_collection_month,The month the sample was collected in the field,numeric,MM,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,sample_collection_day,The day the sample was collected in the field,numeric,DD,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,sample_collection_time,The time of day the sample was collected in the field in 24 hour format,time,HH:MM,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,diver,The diver's name,text,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,buddy,The buddy's name,text,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,direction,Transect direction (0-360 degrees),numeric,XXX,degrees,NA,10.25573/serc.14717796.v1
Diver Visual Survey,sample metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,transect,The transect at the location the sample came from: 1 or 2,numeric,NA,NA,NA,10.25573/serc.14717796.v1
