protocol_name,sheet_name,field_name,definition,field_type,format_text,unit,field_sheet_notes
Marsh Composition and Allometry,sample metadata,site_code,,,,,
Marsh Composition and Allometry,sample metadata,location_name,,,,,
Marsh Composition and Allometry,sample metadata,sample_collection_year,,,,,
Marsh Composition and Allometry,sample metadata,sample_collection_month,,,,,
Marsh Composition and Allometry,sample metadata,sample_collection_day,,,,,
Marsh Composition and Allometry,sample metadata,data_collector,,,,,
Marsh Composition and Allometry,sample metadata,data_entry_person,,,,,
Marsh Composition and Allometry,sample metadata,sample_metadata_notes,,,,,
Marsh Composition and Allometry,plant cover data,site_code,,,,,
Marsh Composition and Allometry,plant cover data,location_name,,,,,
Marsh Composition and Allometry,plant cover data,transect,,,,,
Marsh Composition and Allometry,plant cover data,sample_collection_year,,,,,
Marsh Composition and Allometry,plant cover data,sample_collection_month,,,,,
Marsh Composition and Allometry,plant cover data,sample_collection_day,,,,,
Marsh Composition and Allometry,plant cover data,quadrat,,,,,
Marsh Composition and Allometry,plant cover data,scientific_name,,,,,
Marsh Composition and Allometry,plant cover data,identification_notes,,,,,
Marsh Composition and Allometry,plant cover data,cover_code,"The cover code of the species in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",text,,,
Marsh Composition and Allometry,plant cover data,plant_cover_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Composition and Allometry,non-living cover data,site_code,,,,,
Marsh Composition and Allometry,non-living cover data,location_name,,,,,
Marsh Composition and Allometry,non-living cover data,transect,,,,,
Marsh Composition and Allometry,non-living cover data,sample_collection_year,,,,,
Marsh Composition and Allometry,non-living cover data,sample_collection_month,,,,,
Marsh Composition and Allometry,non-living cover data,sample_collection_day,,,,,
Marsh Composition and Allometry,non-living cover data,quadrat,,,,,
Marsh Composition and Allometry,non-living cover data,bare_ground,"The cover code for bare ground in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",text,,,
Marsh Composition and Allometry,non-living cover data,leaf_litter,"The cover code for leaf litter in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",numeric,,,
Marsh Composition and Allometry,non-living cover data,standing_dead,"The cover code for standing dead in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",numeric,,,
Marsh Composition and Allometry,non-living cover data,open_water,"The cover code for open water in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",numeric,,,
Marsh Composition and Allometry,non-living cover data,wrack,"The cover code for wrack in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",numeric,,,
Marsh Composition and Allometry,non-living cover data,physical_disturbance_Y_N,"Indicate whether a physical disturbance is present in the quadrat, ""Y"" or ""N""",text,Y/N,,
Marsh Composition and Allometry,non-living cover data,physical_disturbance_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Composition and Allometry,non-living cover data,non_living_cover_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Composition and Allometry,allometry - stem count,site_code,,,,,
Marsh Composition and Allometry,allometry - stem count,location_name,,,,,
Marsh Composition and Allometry,allometry - stem count,transect,,,,,
Marsh Composition and Allometry,allometry - stem count,sample_collection_year,,,,,
Marsh Composition and Allometry,allometry - stem count,sample_collection_month,,,,,
Marsh Composition and Allometry,allometry - stem count,sample_collection_day,,,,,
Marsh Composition and Allometry,allometry - stem count,quadrat,,,,,
Marsh Composition and Allometry,allometry - stem count,quadrat_section,Optional; indicate the quadrat section associated with the sample (1 or 2),numeric,2-Jan,,
Marsh Composition and Allometry,allometry - stem count,scientific_name,,,,,
Marsh Composition and Allometry,allometry - stem count,identification_notes,,,,,
Marsh Composition and Allometry,allometry - stem count,stem_count,The count of stems for each species in the quadrat,numeric,,,
Marsh Composition and Allometry,allometry - stem count,high_abundance_method,"Indicate if the method for highly abundant plants is used for this sample with ""Y"". See the protocol for more information. Optional if the method is not used",text,Y/N,,
Marsh Composition and Allometry,allometry - stem count,allometry_stem_count_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Composition and Allometry,allometry - stem measurements,site_code,,,,,
Marsh Composition and Allometry,allometry - stem measurements,location_name,,,,,
Marsh Composition and Allometry,allometry - stem measurements,transect,,,,,
Marsh Composition and Allometry,allometry - stem measurements,sample_collection_year,,,,,
Marsh Composition and Allometry,allometry - stem measurements,sample_collection_month,,,,,
Marsh Composition and Allometry,allometry - stem measurements,sample_collection_day,,,,,
Marsh Composition and Allometry,allometry - stem measurements,quadrat,,,,,
Marsh Composition and Allometry,allometry - stem measurements,scientific_name,,,,,
Marsh Composition and Allometry,allometry - stem measurements,identification_notes,,,,,
Marsh Composition and Allometry,allometry - stem measurements,stem_number,"Optional; use a numeric identifier for the eight individuals measured for each species in the quadrat (1, 2, 3, 4, 5, 6, 7, 8)",numeric,,,
Marsh Composition and Allometry,allometry - stem measurements,stem_height_cm,The height of the stem in centimeters,numeric,,centimeters,
Marsh Composition and Allometry,allometry - stem measurements,stem_diameter_base,"The measured diameter of the stem at the base of the plant, in millimeters",numeric,,millimeters,
Marsh Composition and Allometry,allometry - stem measurements,stem_diameter_40cm,"The measured diameter of the stem  40 cm above the ground, in millimeters",numeric,,millimeters,
Marsh Composition and Allometry,allometry - stem measurements,allometry_stem_measurements_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Composition and Allometry,shrub count per quadrat,site_code,,,,,
Marsh Composition and Allometry,shrub count per quadrat,location_name,,,,,
Marsh Composition and Allometry,shrub count per quadrat,transect,,,,,
Marsh Composition and Allometry,shrub count per quadrat,sample_collection_year,,,,,
Marsh Composition and Allometry,shrub count per quadrat,sample_collection_month,,,,,
Marsh Composition and Allometry,shrub count per quadrat,sample_collection_day,,,,,
Marsh Composition and Allometry,shrub count per quadrat,quadrat,,,,,
Marsh Composition and Allometry,shrub count per quadrat,scientific_name,,,,,
Marsh Composition and Allometry,shrub count per quadrat,identification_notes,,,,,
Marsh Composition and Allometry,shrub count per quadrat,shrub_count,The count of shrubs in each quadrat,numeric,,,
Marsh Composition and Allometry,shrub count per quadrat,shrub_count_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Composition and Allometry,shrub dimensions and stem count,site_code,,,,,
Marsh Composition and Allometry,shrub dimensions and stem count,location_name,,,,,
Marsh Composition and Allometry,shrub dimensions and stem count,transect,,,,,
Marsh Composition and Allometry,shrub dimensions and stem count,sample_collection_year,,,,,
Marsh Composition and Allometry,shrub dimensions and stem count,sample_collection_month,,,,,
Marsh Composition and Allometry,shrub dimensions and stem count,sample_collection_day,,,,,
Marsh Composition and Allometry,shrub dimensions and stem count,quadrat,,,,,
Marsh Composition and Allometry,shrub dimensions and stem count,scientific_name,,,,,
Marsh Composition and Allometry,shrub dimensions and stem count,identification_notes,,,,,
Marsh Composition and Allometry,shrub dimensions and stem count,shrub_number,Optional; use a numeric identifier for each shrub measured in the quadrat,numeric,,,
Marsh Composition and Allometry,shrub dimensions and stem count,stem_count_alive,The count of alive stems for the sampled bush,numeric,,,
Marsh Composition and Allometry,shrub dimensions and stem count,stem_count_dead,The count of dead stems for the sampled bush,numeric,,,
Marsh Composition and Allometry,shrub dimensions and stem count,height_cm,The height of the shrub in centimeters,numeric,,centimeters,
Marsh Composition and Allometry,shrub dimensions and stem count,dimension_x_cm,The x dimension of the shrub in centimeters,numeric,,centimeters,
Marsh Composition and Allometry,shrub dimensions and stem count,dimension_y_cm,The y dimension of the shrub in centimeters,numeric,,centimeters,
Marsh Composition and Allometry,shrub dimensions and stem count,shrub_dimensions_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Composition and Allometry,shrub stem measurements,site_code,,,,,
Marsh Composition and Allometry,shrub stem measurements,location_name,,,,,
