protocol_name,sheet_name,field_name,definition,field_type,format_text,unit,variable_type
seagrass biomass,sample metadata,sample_collection_year,,,,,
seagrass biomass,sample metadata,sample_collection_month,,,,,
seagrass biomass,sample metadata,sample_collection_day,,,,,
seagrass biomass,sample metadata,site_code,,,,,
seagrass biomass,sample metadata,location_name,,,,,
seagrass biomass,sample metadata,transect,,,,,
seagrass biomass,sample metadata,sample_dimensions,Note the (bottom) area or dimensions of the sample,text,NA,NA,
seagrass biomass,sample metadata,sample_processing_year,The date the sample was processed in the lab,date,YYYY-MM-DD,NA,
seagrass biomass,sample metadata,sample_processing_month,,,,,
seagrass biomass,sample metadata,sample_processing_day,,,,,
seagrass biomass,sample metadata,corer_dimensions,Dimensions of the corer used (w x h),text,NA,NA,
seagrass biomass,sample metadata,data_collector,,,,,
seagrass biomass,sample metadata,data_entry_person,,,,,
seagrass biomass,sample metadata,sample_metadata_notes,,,,,
seagrass biomass,sample data,sample_collection_year,,,,,
seagrass biomass,sample data,sample_collection_month,,,,,
seagrass biomass,sample data,sample_collection_day,,,,,
seagrass biomass,sample data,site_code,,,,,
seagrass biomass,sample data,location_name,,,,,
seagrass biomass,sample data,transect,,,,,
seagrass biomass,sample data,quadrat,,,,,
seagrass biomass,sample data,scientific_name,,,,,
seagrass biomass,sample data,identification_notes,,,,,
seagrass biomass,sample data,sample_processing_person,,,,,
seagrass biomass,sample data,tin_mass_g,The mass in grams of an empty measring tin,decimal,xx.xx,grams,measurement
seagrass biomass,sample data,tin_sample_dry_mass_g,"The mass in grams of a measring tin containing a seagrass sample, after it has been dried to a consistant dryweight",decimal,xx.xx,grams,measurement
seagrass biomass,sample data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,note
seagrass density,sample metadata,sample_collection_year,,,,,
seagrass density,sample metadata,sample_collection_month,,,,,
seagrass density,sample metadata,sample_collection_day,,,,,
seagrass density,sample metadata,site_code,,,,,
seagrass density,sample metadata,location_name,,,,,
seagrass density,sample metadata,transect,,,,,
seagrass density,sample metadata,cover_method,"The method used to estimate cover: Braun-Blanquet, percent bins, or point count.",text,NA,NA,categorical
seagrass density,sample metadata,quadrat_dimensions,Dimensions of the quadrat used during sampling (WxH),text,NA,NA,
seagrass density,sample metadata,points_in_quadrat,"The total number of points counted in a quadrat to estimate cover. A value is only necessary if using the point count method, please leave this blank if using a different method.",numeric,NA,NA,measurement
seagrass density,sample metadata,data_collector,,,,,
seagrass density,sample metadata,data_entry_person,,,,,
seagrass density,sample metadata,sample_metadata_notes,,,,,
seagrass density,cover sample data,sample_collection_year,,,,,
seagrass density,cover sample data,sample_collection_month,,,,,
seagrass density,cover sample data,sample_collection_day,,,,,
seagrass density,cover sample data,site_code,,,,,
seagrass density,cover sample data,location_name,,,,,
seagrass density,cover sample data,transect,,,,,
seagrass density,cover sample data,quadrat,,,,,
seagrass density,cover sample data,scientific_name,,,,,
seagrass density,cover sample data,identification_notes,,,,,
seagrass density,cover sample data,cover_code,"Cover code format will depend on the method used: Braun-Blanquet uses a letter scale (A, B, C, D, E) and % bins and point count methods use numeric scale. Refer to the protocol document for more information. If reporting cover for substrate, leave scientific name blank for that row.",NA,NA,NA,categorical
seagrass density,cover sample data,sediment_type,"Type of bare substratum where sample was collected (ex. Sand, mud, mixed)",text,NA,NA,categorical
seagrass density,cover sample data,cover_sample_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,note
