protocol_name,sheet_name,field_name,definition,field_type,format_text,unit,field_sheet_notes
Sediment Organic Matter,sample_metadata,site_code,,,,,
Sediment Organic Matter,sample_metadata,location_name,,,,,
Sediment Organic Matter,sample_metadata,transect,,,,,
Sediment Organic Matter,sample_metadata,sample_collection_year,,,,,
Sediment Organic Matter,sample_metadata,sample_collection_month,,,,,
Sediment Organic Matter,sample_metadata,sample_collection_day,,,,,
Sediment Organic Matter,sample_metadata,data_collector,,,,,
Sediment Organic Matter,sample_metadata,data_entry_person,,,,,
Sediment Organic Matter,sample_metadata,sample_metadata_notes,,,,,
Sediment Organic Matter,sample_data,site_code,,,,,
Sediment Organic Matter,sample_data,location_name,,,,,
Sediment Organic Matter,sample_data,transect,,,,,
Sediment Organic Matter,sample_data,quadrat,,,,,
Sediment Organic Matter,sample_data,sample_processing_year,,,,,
Sediment Organic Matter,sample_data,sample_processing_month,,,,,
Sediment Organic Matter,sample_data,sample_processing_day,,,,,
Sediment Organic Matter,sample_data,tin_mass_g,"Empty tin mass, in grams.",decimal,XX.XX,grams,
Sediment Organic Matter,sample_data,sediment_volume_ml,"Sediment volume, in milliliters.",decimal,XX.XX,milliliters,
Sediment Organic Matter,sample_data,tin_and_sediment_dry_mass_g,Mass of the tin and sediment after drying to a constant weight.,decimal,XX.XX,grams,
Sediment Organic Matter,sample_data,tin_and_sediment_ash_free_dry_mass_g,Mass of the tin and ass free sediment after placing in a muffle furnace.,decimal,XX.XX,grams,
Sediment Organic Matter,sample_data,sample_processing_person,,,,,
Sediment Organic Matter,sample_data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
